artist_id,artist_name,track_id,track_name,duration_ms,release_date,album_type,explicit,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1bDWGdIC2hardyt55nlQgG,"""Weird Al"" Yankovic",1gloYGAZI6eHp6MEPjLuL3,"Canadian Idiot (Parody of ""American Idiot"" by Green Day)",143040,,album,False,,0.543,0.697,8.0,-9.211,1.0,0.0612,0.00206,1.82e-06,0.343,0.861,185.978,4.0
1bDWGdIC2hardyt55nlQgG,"""Weird Al"" Yankovic",7HMKmZQEIduuNio1nPwjqp,"Another Tattoo (Parody of ""Nothin' On You"" by B.o.B. featuring Bruno Mars)",169720,,album,False,,0.771,0.546,10.0,-11.745,1.0,0.0291,0.189,0.0,0.101,0.928,104.043,4.0
1bDWGdIC2hardyt55nlQgG,"""Weird Al"" Yankovic",4JqQWAr47pGEoaMArpA7Z3,Word Crimes,223120,,album,False,,0.897,0.43,7.0,-12.759,1.0,0.0551,0.0118,0.0,0.0473,0.964,121.987,4.0
6s1dJD51qZvI2DAarg8pnE,#1 Tribute Band,5PVqGDjrL3AzbgRbqwIieC,Do What You Gotta Do,185160,,album,False,,0.601,0.485,2.0,-11.956,1.0,0.0337,0.298,0.000217,0.297,0.437,132.892,4.0
5IbEL2xjRtKsunfmsahLuO,$NOT,3YFnfm9z8RmPFIZ7C16u4e,Doja,171453,,album,True,,0.753,0.777,11.0,-5.701,0.0,0.32,0.0725,0.000714,0.125,0.669,157.148,4.0
5IbEL2xjRtKsunfmsahLuO,$NOT,7nc7mlSdWYeFom84zZ8Wr8,Tell Em,180379,,single,True,,0.672,0.717,5.0,-7.476,1.0,0.226,0.103,0.0,0.398,0.473,157.905,4.0
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,73nX7BaV2Rat4AFVNV3YGR,Us Vs. Them,184633,,album,True,,0.651,0.906,6.0,-4.454,1.0,0.172,0.046,0.214,0.895,0.509,77.978,4.0
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,1d966178PJg6b4kcXqoYF3,The Thin Grey Line,105724,,album,True,,0.761,0.806,1.0,-4.926,1.0,0.174,0.0232,1.66e-05,0.277,0.381,142.908,4.0
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,22YmmVRHfFX49G6HY5NV3T,Burgundy,268474,,album,True,,0.798,0.566,8.0,-7.102,1.0,0.0835,0.116,0.137,0.13,0.0561,117.978,4.0
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,1zUqoSVqUE2O5x3MJ0mHz9,Thorns,130500,,album,True,,0.83,0.695,11.0,-4.483,0.0,0.277,0.192,6.22e-05,0.103,0.37,159.946,4.0
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,1bHnRc60O1N0l3PbHjaKyK,Better Place (From TROLLS Band Together),216666,,single,False,,0.579,0.556,4.0,-6.277,0.0,0.0511,0.0214,0.0,0.0904,0.558,116.943,4.0
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,200400,,album,False,,0.61,0.926,8.0,-4.843,0.0,0.0479,0.031,0.0012,0.0821,0.861,172.638,4.0
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,1cjBan0t4eBk2Y5j17hdyf,Bring It All to Me (feat. *NSYNC),218186,,album,False,,0.695,0.579,0.0,-5.066,1.0,0.0325,0.000479,0.0,0.0556,0.726,88.957,4.0
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,0M3ZIWNcizkhYFvn6RuCEz,Music of My Heart (feat. *NSYNC),271160,,compilation,False,,0.375,0.556,11.0,-7.196,1.0,0.041,0.4,0.0,0.0956,0.397,111.827,4.0
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,192426,,album,False,,0.636,0.873,0.0,-4.672,0.0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071,4.0
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,46n2EGFnPC3tzWCN1Aqe26,This I Promise You,284760,,album,False,,0.55,0.587,2.0,-6.279,1.0,0.0329,0.354,0.0,0.128,0.466,165.975,4.0
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,0Jc8qF1mUPo1A96HE9QxZz,Pop,238426,,album,False,,0.706,0.861,11.0,-6.684,1.0,0.154,0.0341,0.0,0.127,0.923,119.946,4.0
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,4CCUjYJPbSXLL23BFeBVbI,Gone,292000,,album,False,,0.704,0.409,11.0,-8.581,0.0,0.0597,0.43,0.0,0.109,0.495,113.863,4.0
