track_id,track_name,duration_ms,release_date,album_type,explicit,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_name
5CMVGP24paZIukljDj0iWc,Jingle Bells (with The Ken Lane Singers),156666,1945-01-01,compilation,False,1945.0,0.542,0.159,8.0,-14.405,1.0,0.0294,0.868,0.0,0.0774,0.634,137.569,4.0,"Ken Lane Singers, Frank Sinatra"
25leEEaz1gIpp7o21Fqyjo,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,150266,1947-01-01,album,False,1947.0,0.834,0.371,1.0,-11.99,1.0,0.0358,0.799,0.0,0.275,0.976,96.628,4.0,Gene Autry
1dtIaSlyrLI04sqYa8nLyN,Rudolph the Red-Nosed Reindeer,186733,1947-01-01,album,False,1947.0,0.629,0.159,8.0,-14.056,1.0,0.0495,0.883,0.0,0.222,0.642,142.157,4.0,Gene Autry
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),192160,1962-01-01,album,False,1962.0,0.32,0.21,6.0,-15.231,1.0,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5.0,Nat King Cole
5ASM6Qjiav2xPe7gRkQMsQ,Sleigh Ride,181266,1963-01-01,compilation,False,1963.0,0.529,0.772,2.0,-7.013,1.0,0.0287,0.403,2.21e-06,0.316,0.853,91.751,4.0,The Ronettes
46pF1zFimM582ss1PrMy68,Christmas (Baby Please Come Home),166453,1963-01-01,compilation,False,1963.0,0.325,0.759,8.0,-7.146,1.0,0.053,0.395,0.000362,0.0773,0.36,126.627,4.0,Darlene Love
7uyivkbdc8iH8wyBGBhlXV,One More Chance,229000,1979-01-01,compilation,False,1979.0,0.476,0.596,7.0,-4.234,1.0,0.0705,0.108,0.0,0.138,0.549,80.74,4.0,Michael Jackson
2uX5f3x2cObov0iDAPln4o,Song of the South,190800,1980-01-01,album,False,1980.0,0.486,0.633,9.0,-8.414,1.0,0.0365,0.176,0.0,0.312,0.669,162.158,4.0,Alabama
0Q2b6AxWV5tD117XktdQxl,Heaven - Live,221000,1984-01-01,album,False,1984.0,0.612,0.357,7.0,-10.4,1.0,0.0303,0.849,3.23e-06,0.516,0.148,107.129,4.0,Talking Heads
4S1VYqwfkLit9mKVY3MXoo,Forever Young,226706,1984-01-01,album,False,1984.0,0.489,0.482,9.0,-9.466,0.0,0.0275,0.417,0.00227,0.235,0.33,136.803,4.0,Alphaville
57P8gH8rjt4OqEoqzut1bL,Round and Round,265893,1984-01-01,album,False,1984.0,0.628,0.934,11.0,-6.026,1.0,0.0527,0.00682,1.11e-05,0.0853,0.491,126.539,4.0,Ratt
3sGfVqsXBflIQEbRhyztWC,Why Don't You Do Right?,187266,1988-01-01,compilation,False,1988.0,0.485,0.169,2.0,-20.579,0.0,0.038,0.792,0.00689,0.143,0.232,98.373,1.0,"Amy Irving, Charles Fleischer"
7BaxYnTazocAOK3istsW1z,You're Not The Only One I Know,230167,1990-01-01,album,False,1990.0,0.516,0.447,0.0,-12.263,1.0,0.0266,0.191,0.0,0.316,0.682,98.002,4.0,The Sundays
7LvK43IERbcLsuabmyKQgi,Beautiful Mess,227920,1991-01-01,compilation,False,1991.0,0.402,0.817,1.0,-3.756,1.0,0.0406,0.317,0.0,0.105,0.376,177.342,4.0,Diamond Rio
2EoIt9vdgFRNW03u5IvFsQ,Achy Breaky Heart,203373,1992-01-01,album,False,1992.0,0.8,0.563,9.0,-10.209,1.0,0.0303,0.051,0.0,0.0797,0.961,121.808,4.0,Billy Ray Cyrus
0u5aO1GYsIhAWCPuXdwnak,Today - 2011 Remaster,201173,1993-01-01,album,False,1993.0,0.456,0.826,8.0,-7.611,1.0,0.0268,3.35e-05,0.57,0.0548,0.415,82.539,4.0,The Smashing Pumpkins
0YwUJOHKYxlm5gVfIkl8Ym,Best Friend,288840,1994-01-01,album,False,1994.0,0.696,0.49,6.0,-6.631,0.0,0.0347,0.155,0.000351,0.0563,0.557,179.825,4.0,Brandy
2CVJECHIdpe8otFH0XFI4F,My Front Porch Looking In,223573,1995-01-01,compilation,False,1995.0,0.529,0.811,5.0,-5.62,1.0,0.0511,0.0317,0.0,0.311,0.454,102.703,4.0,Lonestar
5zmaypMaWb21FUGBxbw8hT,Black Balloon,249533,1998-01-01,album,False,1998.0,0.339,0.625,1.0,-8.57,1.0,0.028,0.057,0.000102,0.229,0.334,104.68,4.0,The Goo Goo Dolls
7MQywXGHEev7JmwwIzMcao,Love Like This,275706,1998-01-01,album,False,1998.0,0.767,0.551,0.0,-7.328,1.0,0.0616,0.00364,0.0,0.0451,0.796,100.904,4.0,Faith Evans
0RZuCBV900eNA2FXCQ3uUM,Broadway,238533,1998-01-01,album,False,1998.0,0.527,0.878,11.0,-5.704,1.0,0.0424,0.000555,0.0,0.0852,0.757,132.791,4.0,The Goo Goo Dolls
0hltBiPrw06vWjtadBn6oe,Babylon,265640,1998-01-01,album,False,1998.0,0.741,0.622,8.0,-8.252,1.0,0.0344,0.0502,0.0179,0.098,0.257,112.016,4.0,David Gray
6Qyc6fS4DsZjB2mRW9DsQs,Iris,289533,1998-01-01,album,False,1998.0,0.315,0.715,11.0,-8.072,0.0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,3.0,The Goo Goo Dolls
0LWINYMC4s8QTdDSb1B3Q3,Hanginaround,247333,1999-01-01,album,False,1999.0,0.503,0.785,0.0,-6.571,1.0,0.0743,0.295,0.0,0.744,0.734,91.464,4.0,Counting Crows
1yKDl9K9lrbIFSpPBzEQtb,Shake Your Bon-Bon,192333,1999-01-01,album,False,1999.0,0.638,0.937,0.0,-4.642,1.0,0.0444,0.0942,0.0,0.327,0.762,100.03,4.0,Ricky Martin
6qc34bnVOyqGDPni8H5W0U,Amazed,240866,1999-01-01,album,False,1999.0,0.561,0.543,1.0,-8.498,1.0,0.0324,0.26,0.0,0.124,0.243,139.803,4.0,Lonestar
1aDoyG4LiKT3o4ZrQK1auW,Smile,213760,1999-01-01,album,False,1999.0,0.467,0.492,7.0,-8.908,1.0,0.0295,0.234,0.0,0.113,0.156,74.945,4.0,Lonestar
3Th5HBAlRZF0oN31ubxHA9,"Live, Laugh, Love",246266,1999-01-01,album,False,1999.0,0.647,0.746,2.0,-10.597,1.0,0.0437,0.195,0.0,0.0271,0.946,98.991,4.0,"Clay Walker, Ed Seay"
1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,237240,1999-01-01,album,False,1999.0,0.728,0.94,4.0,-5.034,1.0,0.0368,0.0814,0.000162,0.109,0.967,113.76,4.0,Third Eye Blind
1rjHJSGgt10GAtgLrDtHTM,Private Emotion (feat. Meja),241000,1999-01-01,album,False,1999.0,0.51,0.726,1.0,-7.0,1.0,0.0337,0.265,0.0,0.0911,0.489,146.553,4.0,"Meja, Ricky Martin"
2aJpRgyHYENSWWCHl1stQz,Can't Stay,377400,1999-01-01,album,False,1999.0,0.409,0.42,11.0,-7.764,1.0,0.041,0.00488,0.0,0.146,0.0412,118.711,3.0,Dave Hollister
6RUa3ZwZYnJnNgZxtIYJR9,Purest of Pain (A Puro Dolor) - Martinee's Radio (Spanish),247480,1999-01-01,single,False,1999.0,0.593,0.939,7.0,-3.431,1.0,0.0616,0.45,1.33e-05,0.109,0.743,134.108,4.0,"Son By Four, Lewis Martinee"
4Do68W4FWO2hRAJCzG1lus,I Turn to You,273706,1999-01-01,album,False,1999.0,0.599,0.47,1.0,-8.356,1.0,0.0376,0.38,0.0,0.111,0.298,127.177,4.0,Christina Aguilera
68AhslXGVDKUUyHnDkORGF,The Chain of Love,304506,1999-01-01,album,False,1999.0,0.533,0.315,2.0,-14.349,1.0,0.0308,0.235,1.19e-05,0.0939,0.316,140.918,4.0,"Clay Walker, Ed Seay"
1xK2NkwOfT8qZYWPossXGz,What About Now,210000,1999-01-01,album,False,1999.0,0.663,0.819,4.0,-7.464,1.0,0.0335,0.147,0.0,0.0915,0.73,125.878,4.0,Lonestar
6wNwHBUjsessjRioNVFbaO,Sour Girl,256253,1999-01-01,album,False,1999.0,0.394,0.663,0.0,-6.619,1.0,0.0295,0.0769,0.00644,0.239,0.737,207.575,4.0,Stone Temple Pilots
7A0apkTSTvMbSI7yplcmlh,Come on over Baby (All I Want Is You) - Radio Version,203333,1999-01-01,album,False,1999.0,0.829,0.915,8.0,-3.205,1.0,0.106,0.226,1.25e-05,0.246,0.779,118.903,4.0,Christina Aguilera
06iQLLK93Dlv7RcvzmZo2g,Deep Inside of You - 2008 Remaster,250533,1999-01-01,album,False,1999.0,0.502,0.591,7.0,-4.522,1.0,0.0242,0.00585,1.9e-05,0.0725,0.169,81.782,4.0,Third Eye Blind
53z0hOqr2yeSj3ZqCdiYNg,Crazy for This Girl,202026,1999-01-01,album,False,1999.0,0.454,0.92,0.0,-5.498,1.0,0.037,0.0007,4.47e-05,0.102,0.417,94.071,4.0,Evan And Jaron
2ilHi6l6v8ABpLIL67jT3H,Tell Her,207560,1999-01-01,album,False,1999.0,0.58,0.487,7.0,-9.809,1.0,0.0318,0.437,0.0,0.0968,0.317,126.972,4.0,Lonestar
7f1Dmr246cJ9uQYdbplTbh,He Wasn't Man Enough,261933,2000-01-01,album,False,2000.0,0.739,0.947,11.0,-1.916,0.0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,4.0,Toni Braxton
21DyCPJqQ8tzFCHJYX9Koz,I Belong To You,257066,2000-01-01,compilation,False,2000.0,0.691,0.686,7.0,-7.465,0.0,0.0493,0.000647,0.00456,0.106,0.666,87.312,4.0,Lenny Kravitz
7JKEA8xYDoFp4q0QBW2PGg,Shackles (Praise You),198346,2000-01-01,album,False,2000.0,0.779,0.834,7.0,-2.773,1.0,0.162,0.0343,0.0,0.0886,0.8,100.46,4.0,Mary Mary
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,233933,2000-01-01,album,False,2000.0,0.545,0.865,11.0,-5.708,0.0,0.0286,0.00664,1.1e-05,0.168,0.543,99.005,4.0,3 Doors Down
1PrZOkFxJqTZAH8P3x87hW,Yes!,206733,2000-01-01,album,False,2000.0,0.674,0.623,2.0,-5.97,1.0,0.0283,0.00408,5.61e-05,0.0488,0.452,126.547,4.0,Chad Brock
3CY7wjLc1CaAIrp9buEWhG,Simple Kind Of Life,256933,2000-01-01,album,False,2000.0,0.576,0.849,0.0,-5.199,1.0,0.0355,0.0678,0.0,0.278,0.482,119.999,4.0,No Doubt
1H5tvpoApNDxvxDexoaAUo,Who Let The Dogs Out,198400,2000-01-01,album,False,2000.0,0.869,0.887,0.0,-4.505,1.0,0.0992,0.0605,0.0,0.148,0.784,129.223,4.0,Baha Men
6kD36kVRn5leDDbjXpHQY0,Just Be A Man About It,288933,2000-01-01,album,False,2000.0,0.753,0.45,9.0,-6.909,1.0,0.0919,0.274,2.05e-06,0.321,0.56,109.408,4.0,Toni Braxton
1C2Q3AymKS17bw7T5gfq6p,Dance with Me,220106,2000-01-01,album,False,2000.0,0.85,0.674,7.0,-7.981,0.0,0.0373,0.309,0.000645,0.0356,0.74,115.005,4.0,Debelah Morgan
1rj0XawWJNisX7SGYexowJ,Gotta Tell You,200160,2000-01-01,album,False,2000.0,0.739,0.75,0.0,-4.513,0.0,0.0278,0.205,0.0,0.157,0.758,109.983,4.0,Samantha Mumba
1uPrIHgYztXSkkcts9jet8,She Bangs - English Version,280626,2000-01-01,album,False,2000.0,0.63,0.95,1.0,-4.012,1.0,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,4.0,Ricky Martin
1aC1IBAETh2XYGOE8kCC6t,Loser,264800,2000-01-01,album,False,2000.0,0.493,0.88,6.0,-6.424,0.0,0.0693,0.0108,2.66e-05,0.226,0.389,147.913,4.0,3 Doors Down
76gLq1wvQSFxR0tP4rgVKS,My Love Goes On And On,185333,2000-01-01,album,False,2000.0,0.582,0.923,6.0,-6.782,1.0,0.0555,0.291,0.0,0.0621,0.953,161.934,4.0,Chris Cagle
1ieouFxB2A3JjKEt1OoEiB,Spanish Guitar,289000,2000-01-01,album,False,2000.0,0.625,0.563,9.0,-6.506,0.0,0.0387,0.437,5.05e-06,0.175,0.364,120.023,4.0,Toni Braxton
0wqOReZDnrefefEsrIGeR4,Hanging By A Moment,216066,2000-01-01,album,False,2000.0,0.541,0.864,1.0,-4.915,1.0,0.0357,0.00118,0.0,0.0896,0.435,124.557,4.0,Lifehouse
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,157333,2000-01-01,album,False,2000.0,0.492,0.969,9.0,-4.419,1.0,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4.0,Linkin Park
0Tl84qfow6Dv0PM60zoBhb,La Bomba,123960,2000-01-01,album,False,2000.0,0.923,0.768,1.0,-7.321,1.0,0.0674,0.119,0.0,0.0689,0.96,94.013,4.0,Azul Azul
514AneEN1C63hmnVNC4dLJ,Baby Come On Over (This Is Our Night),212866,2000-01-01,album,False,2000.0,0.758,0.82,2.0,-4.42,0.0,0.0755,0.0253,0.00105,0.0697,0.801,94.606,4.0,Samantha Mumba
4tgeQrPu5xkrnwErym2JsJ,Here's to the Night,249840,2000-01-01,album,False,2000.0,0.583,0.652,7.0,-6.255,1.0,0.0244,0.0405,0.000378,0.0781,0.352,97.469,4.0,Eve 6
7ktlRGfo8wQaruyZD8xCii,Laredo,230063,2000-01-01,album,False,2000.0,0.483,0.785,10.0,-6.265,0.0,0.042,0.16,0.0,0.0767,0.738,160.086,4.0,Chris Cagle
3PbHle8KhJp6GuO1jLdEmQ,Be Like That,265906,2000-01-01,album,False,2000.0,0.487,0.702,7.0,-6.043,1.0,0.0238,0.00528,4.97e-06,0.129,0.306,95.982,4.0,3 Doors Down
57BrRMwf9LrcmuOsyGilwr,Crawling,208960,2000-01-01,album,False,2000.0,0.58,0.702,4.0,-5.565,1.0,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,4.0,Linkin Park
60a0Rd6pjrkxjPbaKzXjfq,In the End,216880,2000-01-01,album,False,2000.0,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,4.0,Linkin Park
1Jsy4H3jKEwriFniuoC2gj,"I Breathe In, I Breathe Out",244600,2000-01-01,album,False,2000.0,0.518,0.478,7.0,-8.18,1.0,0.0233,0.184,0.0,0.202,0.22,93.05,4.0,Chris Cagle
6xxXrNJnnsQNLdgNk8S4y8,Hate To Say I Told You So,199759,2000-01-01,album,False,2000.0,0.451,0.929,5.0,-5.021,1.0,0.0549,0.00109,0.00785,0.442,0.378,135.767,4.0,The Hives
2ozJmnjqCMJavEKoHqiou0,He Loves You Not,226666,2001-01-01,album,False,2001.0,0.723,0.927,8.0,-5.848,1.0,0.208,0.0925,2.57e-06,0.128,0.601,155.898,4.0,Dream
769geiA8btidGHda4BBDOJ,It's Over Now,264933,2001-01-01,album,False,2001.0,0.66,0.71,1.0,-4.541,1.0,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988,4.0,112
2Pxzfzd1jaZT2F2uqLkZUr,Liquid Dreams,210400,2001-01-01,album,False,2001.0,0.823,0.7,0.0,-5.042,0.0,0.035,0.0264,0.0,0.0531,0.75,108.019,4.0,O-Town
49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,307153,2001-01-01,album,False,2001.0,0.72,0.808,6.0,-5.627,1.0,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4.0,Modjo
2enprHJA0siL33w7TaN7VH,Pour Me,172000,2001-01-01,album,False,2001.0,0.484,0.905,10.0,-3.993,1.0,0.135,0.0936,0.0,0.286,0.767,182.058,4.0,Trick Pony
0xikWgPgYN9BEes0ieZ8Co,Heard It All Before,295826,2001-01-01,album,False,2001.0,0.697,0.925,3.0,-4.209,0.0,0.216,0.0614,0.0,0.095,0.678,96.951,4.0,Sunshine Anderson
3zjLEJ6EPYJHZRtWGMhMSJ,She Couldn't Change Me,260133,2001-01-01,album,False,2001.0,0.67,0.823,5.0,-10.592,1.0,0.033,0.00436,0.000192,0.318,0.787,117.44,4.0,Montgomery Gentry
2423gyT9B3zNqC9ZD8QfSu,Can't Believe (feat. Carl Thomas),300160,2001-01-01,album,False,2001.0,0.784,0.518,7.0,-4.828,1.0,0.0496,0.0684,1.55e-06,0.0646,0.491,89.591,4.0,"Faith Evans, Carl Thomas"
1s8MNZEUhMRlCJiFzHCkTY,This Is Me,192493,2001-01-01,album,False,2001.0,0.662,0.926,8.0,-5.202,1.0,0.156,0.0632,3.28e-06,0.308,0.918,78.053,4.0,Dream
1TBIHWmr1r34J2s0eSfA7U,All or Nothing,281426,2001-01-01,album,False,2001.0,0.644,0.473,0.0,-5.201,1.0,0.0282,0.205,0.0,0.183,0.252,126.925,4.0,O-Town
4ukCThz76ZkKJzTlmDlKpa,On a Night Like This,210426,2001-01-01,album,False,2001.0,0.599,0.776,5.0,-5.292,1.0,0.0437,0.0443,0.0,0.0379,0.831,117.912,4.0,Trick Pony
1PUNthIXityeZlnRLcP7JI,AM To PM,231213,2001-01-01,album,False,2001.0,0.872,0.868,10.0,-3.036,0.0,0.12,0.153,2.26e-05,0.843,0.822,105.005,4.0,Christina Milian
6uRH1qMz30ZBwwUG0IYE5s,Dance With Me,231800,2001-01-01,album,False,2001.0,0.912,0.511,9.0,-6.365,1.0,0.203,0.0259,0.0,0.0442,0.611,101.628,4.0,112
61kG6g3btiapbSVEj3D0Hb,You Gets No Love (feat. P. Diddy & Loon),241400,2001-01-01,album,False,2001.0,0.749,0.677,5.0,-3.502,0.0,0.125,0.211,0.0,0.196,0.917,96.872,4.0,"Loon, Diddy, Faith Evans"
